1;Mohamed Camara;1990-09-20;Es Troyes Ac/Attack/Centre-Forward;180
2;Aliosman Aydin;1992-02-06;Fortuna Dusseldorf/Attack/Centre-Forward;178
3;Kei Kamara;1984-09-01;Norwich City/Attack/Centre-Forward;188
4;Chris Martin;1988-11-04;Norwich City/Attack/Centre-Forward;184
5;Steve Morison;1983-08-29;Norwich City/Attack/Centre-Forward;188
6;James Vaughan;1988-07-14;Norwich City/Attack/Centre-Forward;181
7;Jason Roberts;1978-01-25;Fc Reading/Attack/Centre-Forward;185
8;Gozie Ugwu;1993-04-22;Fc Reading/Attack/Centre-Forward;188
9;Noel Hunt;1982-12-26;Fc Reading/Attack/Centre-Forward;173
10;Garath McCleary;1987-05-15;Fc Reading/Attack/Right Winger;187
11;Nick Blackman;1989-11-11;Fc Reading/Attack/Centre-Forward;188
12;Adam Le Fondre;1986-12-02;Fc Reading/Attack/Centre-Forward;180
13;Jobi McAnuff;1981-11-09;Fc Reading/Attack/Left Winger;180
14;Danny Guthrie;1987-04-18;Fc Reading/Midfield/Central Midfield;176
15;Jay Tabb;1984-02-21;Fc Reading/Midfield/Left Midfield;170
16;Brynjar Gunnarsson;1975-10-16;Fc Reading/Midfield/Defensive Midfield;185
17;Hope Akpan;1991-08-14;Fc Reading/Midfield/Central Midfield;185
18;Shaun Cummings;1989-02-25;Fc Reading/Defender/Right-Back;183
19;Mikele Leigertwood;1982-11-12;Fc Reading/Midfield/Defensive Midfield;188
20;Stephen Kelly;1983-09-06;Fc Reading/Defender/Right-Back;184
21;Chris Gunter;1989-07-21;Fc Reading/Defender/Right-Back;180
22;Jordan Obita;1993-12-08;Fc Reading/Defender/Left-Back;181
23;Ian Harte;1977-08-31;Fc Reading/Defender/Left-Back;175
24;Joseph Mills;1989-10-30;Fc Reading/Defender/Left-Back;175
25;Nicky Shorey;1981-02-19;Fc Reading/Defender/Left-Back;175
26;Alex Pearce;1988-11-09;Fc Reading/Defender/Centre-Back;188
27;Jonathan Henly;1994-03-15;Fc Reading/Goalkeeper/Goalkeeper;193
28;Korey Smith;1991-01-31;Norwich City/Midfield/Central Midfield;183
29;George Francomb;1991-09-08;Norwich City/Defender/Right-Back;180
30;Leon Barnett;1985-11-30;Norwich City/Defender/Centre-Back;185
31;Marc Tierney;1985-08-23;Norwich City/Defender/Left-Back;183
32;Gerrit Wegkamp;1993-04-13;Fortuna Dusseldorf/Attack/Centre-Forward;193
33;Stefan Reisinger;1981-09-14;Fortuna Dusseldorf/Attack/Centre-Forward;185
34;Nando Rafael;1984-01-10;Fortuna Dusseldorf/Attack/Centre-Forward;180
35;Ronny Garbuschewski;1986-02-23;Fortuna Dusseldorf/Attack/Attacking Midfield;180
36;Axel Bellinghausen;1983-05-17;Fortuna Dusseldorf/Midfield/Left Midfield;182
37;Bastian Müller;1991-07-31;Fortuna Dusseldorf/Midfield/Defensive Midfield;185
38;Mathis Bolly;1990-11-14;Fortuna Dusseldorf/Attack/Left Winger;185
39;Ken Ilsö;1986-12-02;Fortuna Dusseldorf/Attack/Attacking Midfield;0
40;Andreas Lambertz;1984-10-15;Fortuna Dusseldorf/Midfield/Central Midfield;172
41;Genki Omae;1989-12-10;Fortuna Dusseldorf/Attack/Second Striker;167
42;Evans Nyarko;1992-07-06;Fortuna Dusseldorf/Midfield/Defensive Midfield;183
43;Du-ri Cha;1980-07-25;Fortuna Dusseldorf/Defender/Right-Back;181
44;Tugrul Erat;1992-06-17;Fortuna Dusseldorf/Defender/Right-Back;190
45;Christian Weber;1983-09-15;Fortuna Dusseldorf/Defender/Right-Back;175
46;Jens Langeneke;1977-03-29;Fortuna Dusseldorf/Defender/Centre-Back;185
47;Martin Latka;1984-09-28;Fortuna Dusseldorf/Defender/Centre-Back;0
48;Juanan;1987-04-27;Fortuna Dusseldorf/Defender/Centre-Back;192
49;Bruno Soares;1988-08-21;Fortuna Dusseldorf/Defender/Centre-Back;194
50;Marcos;1979-09-29;Es Troyes Ac/Attack/Centre-Forward;182
51;Grégory Bettiol;1986-03-30;Es Troyes Ac/Attack/Centre-Forward;180
52;Sébastien Grax;1984-06-23;Es Troyes Ac/Attack/Centre-Forward;180
53;Benjamin Psaume;1985-01-12;Es Troyes Ac/Attack/Right Winger;170
54;Sylvain Monsoreau;1981-03-20;Es Troyes Ac/Defender/Centre-Back;186
55;Stéphen Drouin;1984-02-27;Es Troyes Ac/Defender/Left-Back;186
56;Florian Jarjat;1980-02-18;Es Troyes Ac/Defender/Centre-Back;181
57;Julien Outrebon;1983-06-16;Es Troyes Ac/Defender/Centre-Back;181
58;Iván Casado;1993-07-06;Real Valladolid/Defender/Centre-Back;187
59;Johann Ramaré;1984-06-05;Stade Reims/Midfield/Defensive Midfield;181
60;Khalid Sekkat;1984-05-12;Stade Reims/Defender/Left-Back;180
61;Johan Liébus;1978-11-05;Stade Reims/Goalkeeper/Goalkeeper;184
62;Riccardo Benatti;1994-01-30;Fc Bologna/Attack/Right Winger;176
63;Roger Carvalho;1986-12-10;Fc Bologna/Defender/Centre-Back;184
64;Lorenzo Dall'Osso;1995-05-26;Fc Bologna/Defender/Centre-Back;186
